id,godina_akreditacije,naziv,oznaka,trajanje_godina,trajanje_semestara,ukupno_espb,vrsta_studija,zvanje
15,2007,***Informacione tehnologije - stari plan iz 07,S,3,6,NULL,OSS,NULL
49,2007,***Informacione tehnologije - stari plan iz 07,S,3,6,NULL,OSS,NULL
11,2006,***Ra?unarske nauke i mreže (zajedno) - stari plan iz 06*,RN,4,8,NULL,OAS,NULL
45,2006,***Ra?unarske nauke i mreže (zajedno) - stari plan iz 06*,RN,4,8,NULL,OAS,NULL
28,2008,"Algoritmi, kombinatorika, optimizacija",D,3,6,NULL,DAS,NULL
62,2008,"Algoritmi, kombinatorika, optimizacija",D,3,6,NULL,DAS,NULL
12,2020,Informacione tehnologije,S,3,6,NULL,OSS,NULL
46,2020,Informacione tehnologije,S,3,6,NULL,OSS,NULL
13,2008,Informacione tehnologije,S,3,6,NULL,OSS,NULL
14,2008,Informacione tehnologije,S,3,6,NULL,OSS,NULL
47,2008,Informacione tehnologije,S,3,6,NULL,OSS,NULL
48,2008,Informacione tehnologije,S,3,6,NULL,OSS,NULL
24,2020,Informacioni sistemi,M,1,2,NULL,MAS,NULL
58,2020,Informacioni sistemi,M,1,2,NULL,MAS,NULL
23,2014,Informacioni sistemi,M,1,2,NULL,MAS,NULL
57,2014,Informacioni sistemi,M,1,2,NULL,MAS,NULL
16,2008,Inteligentni sistemi,M,1,2,NULL,MAS,NULL
50,2008,Inteligentni sistemi,M,1,2,NULL,MAS,NULL
10,2020,Multimedijalni dizajn,RD,4,8,NULL,OAS,NULL
25,2020,Multimedijalni dizajn,M,1,2,NULL,MAS,NULL
33,2020,Multimedijalni dizajn,D,3,6,NULL,DAS,NULL
44,2020,Multimedijalni dizajn,RD,4,8,NULL,OAS,NULL
59,2020,Multimedijalni dizajn,M,1,2,NULL,MAS,NULL
67,2020,Multimedijalni dizajn,D,3,6,NULL,DAS,NULL
34,2008,Obrada signala u telekomunikacijama,D,3,6,NULL,DAS,NULL
68,2008,Obrada signala u telekomunikacijama,D,3,6,NULL,DAS,NULL
17,2008,Ra?unarske komunikacije,M,1,2,NULL,MAS,NULL
51,2008,Ra?unarske komunikacije,M,1,2,NULL,MAS,NULL
3,2008,Ra?unarske mreže i komunikacije,RM,4,8,NULL,OAS,NULL
37,2008,Ra?unarske mreže i komunikacije,RM,4,8,NULL,OAS,NULL
7,2020,Ra?unarske nauke,RN,4,8,NULL,OAS,NULL
21,2020,Ra?unarske nauke,M,1,2,NULL,MAS,NULL
31,2020,Ra?unarske nauke,D,3,6,NULL,DAS,NULL
41,2020,Ra?unarske nauke,RN,4,8,NULL,OAS,NULL
55,2020,Ra?unarske nauke,M,1,2,NULL,MAS,NULL
65,2020,Ra?unarske nauke,D,3,6,NULL,DAS,NULL
9,2014,Ra?unarske nauke,RN,4,8,NULL,OAS,NULL
22,2014,Ra?unarske nauke,M,1,2,NULL,MAS,NULL
32,2014,Ra?unarske nauke,D,3,6,NULL,DAS,NULL
43,2014,Ra?unarske nauke,RN,4,8,NULL,OAS,NULL
56,2014,Ra?unarske nauke,M,1,2,NULL,MAS,NULL
66,2014,Ra?unarske nauke,D,3,6,NULL,DAS,NULL
8,2008,Ra?unarske nauke,RN,4,8,NULL,OAS,NULL
42,2008,Ra?unarske nauke,RN,4,8,NULL,OAS,NULL
4,2014,Ra?unarski dizajn,RD,4,8,NULL,OAS,NULL
18,2014,Ra?unarski dizajn,M,1,2,NULL,MAS,NULL
38,2014,Ra?unarski dizajn,RD,4,8,NULL,OAS,NULL
52,2014,Ra?unarski dizajn,M,1,2,NULL,MAS,NULL
5,2020,Ra?unarsko inženjerstvo,RI,4,8,NULL,OAS,NULL
19,2020,Ra?unarsko inženjerstvo,M,1,2,NULL,MAS,NULL
29,2020,Ra?unarsko inženjerstvo,D,3,6,NULL,DAS,NULL
39,2020,Ra?unarsko inženjerstvo,RI,4,8,NULL,OAS,NULL
53,2020,Ra?unarsko inženjerstvo,M,1,2,NULL,MAS,NULL
63,2020,Ra?unarsko inženjerstvo,D,3,6,NULL,DAS,NULL
6,2014,Ra?unarsko inženjerstvo,RI,4,8,NULL,OAS,NULL
20,2014,Ra?unarsko inženjerstvo,M,1,2,NULL,MAS,NULL
30,2014,Ra?unarsko inženjerstvo,D,3,6,NULL,DAS,NULL
40,2014,Ra?unarsko inženjerstvo,RI,4,8,NULL,OAS,NULL
54,2014,Ra?unarsko inženjerstvo,M,1,2,NULL,MAS,NULL
64,2014,Ra?unarsko inženjerstvo,D,3,6,NULL,DAS,NULL
26,2020,Softversko inženjerstvo,M,1,2,NULL,MAS,NULL
60,2020,Softversko inženjerstvo,M,1,2,NULL,MAS,NULL
27,2014,Softversko inženjerstvo,M,1,2,NULL,MAS,NULL
61,2014,Softversko inženjerstvo,M,1,2,NULL,MAS,NULL
2,NULL,Stari plan i program,NN,4,8,NULL,OAS,NULL
36,NULL,Stari plan i program,NN,4,8,NULL,OAS,NULL
35,2000,Studijski program - biblioteka,NN,0,0,NULL,OAS,NULL
